date, pm25, pm10, o3, no2, so2, co
2024/2/26, 42, 21, 13, 8, , 
2024/3/1, 43, 17, 17, 7, , 
2024/3/2, 58, 9, 35, 7, , 
2024/3/3, 25, 22, 19, 8, , 
2024/3/4, 57, 21, 21, 7, , 
2024/3/5, 62, 7, 12, 10, , 
2024/3/6, 29, 22, 23, 6, , 
2024/3/7, 66, 16, 25, 5, , 
2024/3/8, 57, 11, 24, 8, , 
2024/3/9, 43, 3, 27, 4, , 
2024/3/19, 34, 15, 32, 8, , 
2024/3/20, 30, 17, 29, 10, , 
2024/3/21, 46, 14, 38, 9, , 
2024/3/22, 40, 5, 32, 3, , 
2024/3/23, 16, 2, 31, 2, , 
2024/3/24, 8, 5, 34, 3, , 
2024/3/25, 16, 10, 24, 6, , 
2024/3/26, 29, 14, 27, 7, , 
2024/3/27, 35, 2, 34, 4, , 
2024/3/28, 10, 28, 34, 2, , 
2024/3/29, 41, 93, 37, 2, , 
2024/3/30, 154, 39, 37, 4, , 
2024/3/31, 63, 3, 38, 1, , 
2023/10/1, 52, 28, 32, 8, , 
2023/10/2, 65, 14, 39, 3, , 
2023/10/3, 39, 13, 33, 8, , 
2023/10/4, 19, 18, 28, 8, , 
2023/10/5, 38, 20, 24, 9, , 
2023/10/6, 44, 13, 30, 7, , 
2023/10/8, 47, 33, 19, 8, , 
2023/10/9, 59, 34, 32, 11, , 
2023/10/10, 58, 26, 36, 9, , 
2023/10/11, 48, 18, 37, 6, , 
2023/10/12, 43, 20, 31, 8, , 
2023/10/13, 42, 14, 32, 4, , 
2023/10/14, 30, 7, 23, 4, , 
2023/10/15, 10, 10, 24, 6, , 
2023/10/16, 25, 15, 8, 9, , 
2023/10/17, 44, 17, 9, 9, , 
2023/10/18, 50, 22, 6, 10, , 
2023/10/19, 63, 17, 30, 6, , 
2023/10/20, 40, 2, 25, 7, , 
2023/10/21, 4, 6, 30, 4, , 
2023/10/22, 12, 11, 14, 7, , 
2023/10/23, 27, 19, 19, 8, , 
2023/10/24, 45, 4, 26, 7, , 
2023/10/25, 8, 4, 28, 6, , 
2023/10/26, 8, 4, 29, 5, , 
2023/10/27, 7, 7, 31, 6, , 
2023/10/28, 13, 7, 23, 6, , 
2023/10/29, 19, 15, 17, 10, , 
2023/10/30, 37, 3, 26, 3, , 
2023/10/31, 6, 6, 22, 5, , 
2023/11/1, 11, 7, 28, 7, , 
2023/11/2, 13, 4, 20, 5, , 
2023/11/3, 8, 4, 22, 5, , 
2023/11/4, 9, 1, 30, 1, , 
2023/11/5, 4, 3, 29, 3, , 
2023/11/6, 6, 4, 25, 7, , 
2023/11/7, 7, 12, 28, 8, , 
2023/11/8, 19, 14, 23, 12, , 
2023/11/9, 17, 1, 25, 7, , 
2023/11/10, 16, , 25, 5, , 
2023/11/11, 13, 4, 22, 5, , 
2023/11/12, 10, 5, 28, 5, , 
2023/11/13, 14, 4, 33, 4, , 
2023/11/14, 7, 3, 29, 3, , 
2023/11/15, 5, 7, 19, 7, , 
2023/11/16, 12, 5, 21, 5, , 
2023/11/17, 13, 5, 24, 5, , 
2023/11/18, 14, 2, 24, 2, , 
2023/11/19, 3, 7, 27, 3, , 
2023/11/20, 16, 5, 24, 6, , 
2023/11/21, 15, 7, 9, 5, , 
2023/11/22, 24, 11, 15, 6, , 
2023/11/23, 32, 4, 26, 6, , 
2023/11/24, 9, 4, 25, 4, , 
2023/11/25, 5, 5, 19, 4, , 
2023/11/26, 9, 6, 22, 8, , 
2023/11/27, 8, 3, 23, 5, , 
2023/11/28, 15, 10, 19, 11, , 
2023/11/29, 31, 10, 10, 13, , 
2023/11/30, 33, 15, 2, 16, , 
2023/12/1, 54, 13, 12, 12, , 
2023/12/2, 48, 13, 17, 14, , 
2023/12/3, 40, 23, 6, 23, , 
2023/12/4, 68, 13, 18, 20, , 
2023/12/5, 35, 5, 19, 6, , 
2023/12/6, 18, 14, 18, 16, , 
2023/12/7, 43, 20, 6, 22, , 
2023/12/8, 59, 11, 22, 11, , 
2023/12/9, 35, 6, 30, 4, , 
2023/12/10, 15, 2, 28, 5, , 
2023/12/11, 12, 5, 24, 10, , 
2023/12/12, 17, 4, 25, 8, , 
2023/12/13, 15, 6, 22, 6, , 
2023/12/14, 19, 9, 13, 8, , 
2023/12/15, 30, 14, 16, 10, , 
2023/12/16, 37, 12, 11, 11, , 
2023/12/17, 31, 21, 5, 17, , 
2023/12/18, 45, 15, 25, 14, , 
2023/12/19, 12, 6, 27, 4, , 
2023/12/20, 4, 1, 29, 1, , 
2023/12/21, 3, 2, 29, 2, , 
2023/12/22, 2, 1, 30, 1, , 
2023/12/23, 2, 1, 33, 1, , 
2023/12/24, 2, 2, 31, 2, , 
2023/12/25, 2, 9, 26, 3, , 
2023/12/26, 19, 12, 16, 9, , 
2023/12/27, 32, 6, 26, 9, , 
2023/12/28, 14, 5, 28, 3, , 
2023/12/29, 10, 9, 29, 6, , 
2023/12/30, 26, 9, 29, 7, , 
2023/12/31, 25, 53, 28, 4, , 
2023/7/1, 37, 14, 37, 4, , 
2023/7/2, 33, 11, 37, 1, , 
2023/7/3, 45, 9, 36, 3, , 
2023/7/4, 23, 8, 31, 3, , 
2023/7/5, 21, 15, 41, 4, , 
2023/7/6, 35, 21, 51, 5, , 
2023/7/7, 48, 22, 57, 8, , 
2023/7/8, 53, 18, 56, 4, , 
2023/7/9, 53, 19, 51, 5, , 
2023/7/10, 50, 20, 59, 4, , 
2023/7/11, 51, 13, 43, 3, , 
2023/7/12, 27, 9, 39, 3, , 
2023/7/13, 18, 12, 42, 3, , 
2023/7/14, 30, 15, 44, 4, , 
2023/7/15, 39, 12, 38, 5, , 
2023/7/16, 30, 14, 41, 4, , 
2023/7/17, 36, 16, 43, 5, , 
2023/7/18, 33, 16, 46, 3, , 
2023/7/19, 35, 12, 39, 3, , 
2023/7/20, 17, 16, 35, 6, , 
2023/7/21, 34, 9, 39, 5, , 
2023/7/22, 26, 13, 41, 2, , 
2023/7/23, 39, 13, 43, 5, , 
2023/7/24, 36, 5, 30, 3, , 
2023/7/25, 13, 6, 28, 3, , 
2023/7/26, 13, 6, 32, 3, , 
2023/7/27, 12, 12, 28, 4, , 
2023/7/28, 29, 8, 29, 3, , 
2023/7/29, 22, 6, 31, 1, , 
2023/7/30, 14, 9, 35, 3, , 
2023/7/31, 23, 7, 30, 3, , 
2023/8/1, 17, 7, 28, 3, , 
2023/8/2, 15, 6, 34, 1, , 
2023/8/3, 9, 6, 29, 3, , 
2023/8/4, 6, 11, 23, 5, , 
2023/8/5, 24, 3, 26, 1, , 
2023/8/6, 8, 4, 31, 1, , 
2023/8/7, 3, 6, 36, 2, , 
2023/8/8, 6, 9, 26, 4, , 
2023/8/9, 18, 9, 43, 4, , 
2023/8/10, 21, 12, 44, 4, , 
2023/8/11, 33, 15, 42, 4, , 
2023/8/12, 42, 16, 45, 4, , 
2023/8/13, 47, 9, 44, 3, , 
2023/8/14, 25, 17, 43, 4, , 
2023/8/15, 43, 11, 41, 4, , 
2023/8/16, 28, 18, 46, 4, , 
2023/8/17, 47, 10, 46, 3, , 
2023/8/18, 23, 16, 46, 4, , 
2023/8/19, 40, 24, 46, 4, , 
2023/8/20, 53, 23, 62, 7, , 
2023/8/21, 53, 24, 59, 6, , 
2023/8/22, 56, 19, 52, 6, , 
2023/8/23, 46, 25, 50, 5, , 
2023/8/24, 53, 13, 45, 3, , 
2023/8/25, 30, 12, 37, 3, , 
2023/8/26, 27, 4, 30, 2, , 
2023/8/27, 4, 4, 27, 2, , 
2023/8/28, 4, 2, 26, 3, , 
2023/8/29, 4, 9, 29, 4, , 
2023/8/30, 24, 8, 30, 3, , 
2023/8/31, 18, 8, 31, 4, , 
2023/9/1, 20, 11, 37, 5, , 
2023/9/2, 30, 14, 32, 6, , 
2023/9/3, 35, 11, 37, 4, , 
2023/9/4, 32, 10, 38, 4, , 
2023/9/5, 30, 14, 39, 5, , 
2023/9/6, 38, 19, 43, 6, , 
2023/9/7, 47, 23, 48, 7, , 
2023/9/8, 54, 29, 62, 7, , 
2023/9/9, 71, 24, 52, 5, , 
2023/9/10, 66, 23, 63, 7, , 
2023/9/11, 61, 23, 55, 7, , 
2023/9/12, 57, 14, 30, 6, , 
2023/9/13, 34, 18, 32, 7, , 
2023/9/14, 46, 12, 34, 3, , 
2023/9/15, 30, 13, 34, 6, , 
2023/9/16, 41, 14, 39, 4, , 
2023/9/17, 42, 13, 26, 5, , 
2023/9/18, 29, 6, 34, 3, , 
2023/9/19, 15, 10, 33, 5, , 
2023/9/20, 21, 13, 35, 6, , 
2023/9/21, 30, 3, 30, 3, , 
2023/9/22, 8, 4, 25, 4, , 
2023/9/23, 11, 8, 32, 4, , 
2023/9/24, 17, 11, 30, 5, , 
2023/9/25, 30, 23, 27, 11, , 
2023/9/26, 56, 17, 33, 9, , 
2023/9/27, 43, 17, 39, 12, , 
2023/9/28, 42, 15, 39, 7, , 
2023/9/29, 35, 19, 31, 3, , 
2023/9/30, 47, 17, 38, 5, , 
2023/4/3, 17, 7, 34, 1, , 
2023/4/4, 38, 9, 35, 2, , 
2023/4/5, 48, 17, 37, 8, , 
2023/4/6, 57, 20, 39, 12, , 
2023/4/7, 45, 13, 36, 5, , 
2023/4/8, 49, 14, 29, 5, , 
2023/4/9, 30, 10, 29, 4, , 
2023/4/11, 18, 5, 34, 3, , 
2023/4/12, 22, 6, 33, 4, , 
2023/4/13, 13, 4, 35, 3, , 
2023/4/14, 11, 5, 33, 4, , 
2023/4/15, 28, 7, 34, , , 
2023/4/16, 6, 3, 26, , , 
2023/4/17, 42, 11, 30, 5, , 
2023/4/18, 45, 12, 23, 3, , 
2023/4/19, 37, 11, 33, 4, , 
2023/4/20, 32, 9, 29, 5, , 
2023/4/21, 37, 13, 37, 5, , 
2023/4/22, 22, 8, 41, 6, , 
2023/4/23, 30, 11, 39, 3, , 
2023/4/24, 9, 4, 40, 2, , 
2023/4/25, 16, 7, 36, 3, , 
2023/4/26, 33, 11, 37, 5, , 
2023/4/27, 44, 17, 36, 8, , 
2023/4/28, 17, 7, 26, 8, , 
2023/4/29, 23, 7, 31, 3, , 
2023/4/30, 28, 9, 35, 2, , 
2023/5/1, 40, 11, 30, 3, , 
2023/5/2, 32, 9, 32, 4, , 
2023/5/3, 44, 15, 36, 6, , 
2023/5/4, 38, 12, 39, 4, , 
2023/5/5, 40, 15, 46, 6, , 
2023/5/6, 33, 11, 35, 4, , 
2023/5/7, 43, 14, 38, 4, , 
2023/5/8, 51, 17, 28, 3, , 
2023/5/9, 44, 15, 37, 4, , 
2023/5/10, 6, 3, 27, 3, , 
2023/5/11, 6, 2, 27, 5, , 
2023/5/12, 26, 8, 26, 4, , 
2023/5/13, 26, 8, 24, 2, , 
2023/5/14, 34, 10, 29, 1, , 
2023/5/15, 26, 7, 31, 4, , 
2023/5/16, 41, 14, 31, 6, , 
2023/5/17, 21, 8, 35, 2, , 
2023/5/18, 29, 11, 34, 3, , 
2023/5/19, 41, 14, 30, 2, , 
2023/5/20, 45, 17, 37, 2, , 
2023/5/21, 48, 19, 45, 2, , 
2023/5/22, 55, 23, 49, 5, , 
2023/5/23, 48, 21, 41, 4, , 
2023/5/24, 27, 13, 31, 3, , 
2023/5/25, 39, 16, 36, 3, , 
2023/5/26, 47, 19, 45, 5, , 
2023/5/27, 41, 16, 45, 3, , 
2023/5/28, 39, 15, 45, 4, , 
2023/5/29, 44, 16, 45, 5, , 
2023/5/30, 45, 16, 48, 3, , 
2023/5/31, 39, 16, 48, 2, , 
2023/6/1, 54, 20, 53, 4, , 
2023/6/2, 54, 22, 52, 6, , 
2023/6/3, 44, 19, 42, 2, , 
2023/6/4, 39, 14, 44, 3, , 
2023/6/5, 51, 19, 40, 3, , 
2023/6/6, 37, 13, 46, 4, , 
2023/6/7, 50, 18, 57, 6, , 
2023/6/8, 53, 20, 56, 4, , 
2023/6/9, 34, 11, 49, 3, , 
2023/6/10, 41, 12, 43, 3, , 
2023/6/11, 36, 11, 47, 2, , 
2023/6/12, 34, 11, 45, 2, , 
2023/6/13, 25, 12, 45, 2, , 
2023/6/14, 37, 16, 48, 4, , 
2023/6/15, 47, 18, 49, 5, , 
2023/6/16, 47, 19, 49, 7, , 
2023/6/17, 51, 22, 55, 6, , 
2023/6/18, 57, 21, 71, 4, , 
2023/6/19, 50, 18, 57, 4, , 
2023/6/20, 32, 13, 49, 3, , 
2023/6/21, 48, 23, 52, 7, , 
2023/6/22, 51, 23, 73, 7, , 
2023/6/23, 21, 11, 43, 5, , 
2023/6/24, 31, 10, 49, 5, , 
2023/6/25, 49, 17, 58, 7, , 
2023/6/26, 50, 18, 65, 8, , 
2023/6/27, 26, 14, 47, 3, , 
2023/6/28, 32, 13, 46, 6, , 
2023/6/29, 41, 13, 58, 6, , 
2023/6/30, 67, 26, 39, 11, , 
2023/3/24, 22, 9, 34, 5, , 
2023/3/25, 7, 2, 34, , , 
2023/3/26, 11, 4, 36, 1, , 
2023/3/27, 9, 4, 35, 2, , 
2023/3/28, 17, 8, 34, 3, , 
2023/3/29, 23, 9, 34, 5, , 
2023/3/30, 39, 18, 35, 5, , 
2023/3/31, 37, 10, 36, 4, , 
2025/7/22, , 11, 36, 4, , 
2025/4/21, , 9, 34, 2, , 
2025/4/22, , 23, 37, 6, , 
2025/4/24, , 9, 30, 3, , 
2024/12/31, , 197, 31, 12, , 
2024/8/15, , 15, 55, 5, , 
2024/8/16, , 14, 37, 4, , 
2024/8/17, , 10, 29, 3, , 
2024/8/20, , 10, 30, 3, , 
2024/8/27, , 15, 40, 5, , 
2024/8/28, , 22, 43, 5, , 
2024/8/29, , 23, 47, 7, , 
2024/2/17, , 13, 26, 6, , 
2024/2/18, , 3, 27, 2, , 
2024/2/19, , 7, 28, 4, , 
2024/2/27, , 29, 12, 8, , 
2024/2/28, , 25, 12, 7, , 
2024/2/29, , 24, 17, 9, , 
2024/3/10, , 4, 30, 7, , 
2024/3/11, , 8, 26, 4, , 
2024/3/12, , 4, 21, 4, , 
2024/3/13, , 5, 21, 7, , 
2024/3/14, , 8, 31, 6, , 
2024/3/15, , 1, 34, 1, , 
2024/3/16, , 7, 30, 4, , 
2024/3/17, , 6, 26, 7, , 
2024/3/18, , 11, 29, 6, , 
2023/10/7, , 19, 31, 5, , 
2023/4/1, , 1, 33, 1, , 
2023/4/2, , 3, 31, 1, , 
2023/4/10, , 9, 35, 4, , 
2023/1/2, , 10, 21, 11, , 
2023/1/3, , 7, 23, 7, , 
2023/1/4, , 6, 30, 5, , 
2023/1/5, , 4, 29, 2, , 
2023/1/6, , 2, 22, 4, , 
2023/1/7, , 4, 14, 7, , 
2023/1/9, , 1, 30, 5, , 
2023/1/10, , 5, 24, 6, , 
2023/1/11, , 2, 24, 6, , 
2023/1/12, , 3, 28, 2, , 
2023/1/13, , 2, 31, 2, , 
2023/1/14, , 4, 27, 4, , 
2023/1/15, , 1, 31, 2, , 
2023/1/16, , 3, 29, 7, , 
2023/1/17, , 3, 28, 5, , 
2023/1/18, , 6, 25, 5, , 
2023/1/19, , 9, 23, 6, , 
2023/1/20, , 13, 18, 10, , 
2023/1/21, , 10, 17, 7, , 
2023/1/22, , 11, 16, 7, , 
2023/1/23, , 23, 10, 10, , 
2023/1/24, , 24, 13, 6, , 
2023/1/25, , 12, 16, 3, , 
2023/1/26, , 14, 14, 6, , 
2023/1/27, , 15, 9, 7, , 
2023/1/28, , 13, 10, 7, , 
2023/1/29, , 11, 17, 5, , 
2023/1/30, , 18, 25, 5, , 
2023/1/31, , 10, 24, 4, , 
2023/2/1, , 8, 29, 2, , 
2023/2/2, , 10, 29, 2, , 
2023/2/3, , 7, 29, 2, , 
2023/2/4, , 5, 25, 5, , 
2023/2/5, , 11, 19, 9, , 
2023/2/6, , 20, 19, 7, , 
2023/2/7, , 23, 20, 7, , 
2023/2/8, , 27, 22, 6, , 
2023/2/9, , 25, 17, 18, , 
2023/2/10, , 32, 25, 17, , 
2023/2/11, , 23, 23, 15, , 
2023/2/12, , 23, 22, 7, , 
2023/2/13, , 13, 13, 6, , 
2023/2/14, , 14, 4, 10, , 
2023/2/15, , 11, 4, 12, , 
2023/2/16, , 28, 31, 10, , 
2023/2/17, , 40, 33, 3, , 
2023/2/20, , 4, 31, 4, , 
2023/2/21, , 10, 29, 10, , 
2023/2/22, , 18, 25, 13, , 
2023/2/23, , 22, 24, 10, , 
2023/2/24, , 18, 27, 9, , 
2023/2/25, , 4, 28, 5, , 
2023/2/26, , 2, 27, 2, , 
2023/2/27, , 6, 28, 1, , 
2023/2/28, , 14, 24, 3, , 
2023/3/1, , 22, 27, 5, , 
2023/3/2, , 28, 23, 7, , 
2023/3/3, , 40, 13, 11, , 
2023/3/4, , 31, 22, 8, , 
2023/3/5, , 18, 26, 4, , 
2023/3/6, , 19, 25, 8, , 
2023/3/7, , 14, 34, 4, , 
2023/3/8, , 11, 33, 4, , 
2023/3/9, , 4, 36, 3, , 
2023/3/10, , 4, 32, 3, , 
2023/3/11, , 5, 32, 2, , 
2023/3/12, , 7, 25, 6, , 
2023/3/13, , 6, 28, 5, , 
2023/3/14, , 3, 32, 2, , 
2023/3/15, , 5, 33, 2, , 
2023/3/16, , 9, 28, 5, , 
2023/3/17, , 14, 14, 9, , 
2023/3/18, , 17, 37, 6, , 
2023/3/19, , 16, 36, 8, , 
2023/3/20, , 7, 29, 4, , 
2023/3/21, , 14, 29, 8, , 
2023/3/22, , 13, 35, 8, , 
2023/3/23, , 11, 33, 6, , 
2022/10/1, , 8, 22, 2, , 
2022/10/2, , 3, 23, 3, , 
2022/10/3, , 16, 9, 4, , 
2022/10/4, , 10, 20, 7, , 
2022/10/5, , 13, 24, 7, , 
2022/10/6, , 14, 15, 7, , 
2022/10/7, , 22, 16, 8, , 
2022/10/8, , 14, 16, 5, , 
2022/10/9, , 12, 18, 7, , 
2022/10/10, , 10, 16, 7, , 
2022/10/11, , 19, 13, 5, , 
2022/10/12, , 21, 14, 6, , 
2022/10/13, , 11, 23, 5, , 
2022/10/14, , 9, 15, 3, , 
2022/10/15, , 7, 19, 5, , 
2022/10/16, , 9, 15, 11, , 
2022/10/17, , 15, 24, 8, , 
2022/10/18, , 24, 16, 7, , 
2022/10/19, , 21, 8, 5, , 
2022/10/20, , 15, 21, 7, , 
2022/10/21, , 17, 22, 4, , 
2022/10/22, , 9, 10, 5, , 
2022/10/23, , 9, 23, 5, , 
2022/10/24, , 16, 25, 6, , 
2022/10/25, , 14, 18, 8, , 
2022/10/26, , 9, 11, 7, , 
2022/10/27, , 14, 9, 10, , 
2022/10/28, , 16, 10, 9, , 
2022/10/29, , 18, 11, 8, , 
2022/10/30, , 27, 6, 7, , 
2022/10/31, , 30, 21, 5, , 
2022/11/1, , 18, 22, 8, , 
2022/11/2, , 13, 3, 8, , 
2022/11/3, , 12, 25, 6, , 
2022/11/4, , 5, 12, 7, , 
2022/11/5, , 11, 14, 5, , 
2022/11/6, , 3, 25, 9, , 
2022/11/7, , 9, 7, 10, , 
2022/11/8, , 7, 18, 11, , 
2022/11/9, , 12, 19, 10, , 
2022/11/10, , 12, 2, 8, , 
2022/11/11, , 14, , 7, , 
2022/11/12, , 14, 5, 7, , 
2022/11/13, , 10, 2, 10, , 
2022/11/14, , 7, 9, 10, , 
2022/11/15, , 36, 8, 10, , 
2022/11/16, , 33, 12, 11, , 
2022/11/17, , 2, 23, 4, , 
2022/11/18, , 1, 22, 3, , 
2022/11/19, , 1, 24, 3, , 
2022/11/20, , 1, 25, 4, , 
2022/11/21, , 2, 17, 9, , 
2022/11/22, , 4, 22, 8, , 
2022/11/23, , 10, 23, 7, , 
2022/11/24, , 4, 14, 11, , 
2022/11/25, , 5, 18, 7, , 
2022/11/26, , 13, 8, 6, , 
2022/11/27, , 12, 4, 8, , 
2022/11/28, , 14, 6, 9, , 
2022/11/29, , 15, 12, 4, , 
2022/11/30, , 18, 8, 6, , 
2022/12/1, , 22, 2, 9, , 
2022/12/2, , 21, 5, 6, , 
2022/12/3, , 12, 4, 6, , 
2022/12/4, , 10, 18, 8, , 
2022/12/5, , 7, 9, 11, , 
2022/12/6, , 8, 10, 11, , 
2022/12/7, , 11, 5, 11, , 
2022/12/8, , 18, 4, 9, , 
2022/12/9, , 22, 10, 8, , 
2022/12/10, , 22, 21, 5, , 
2022/12/11, , 10, 15, 12, , 
2022/12/12, , 14, 10, 15, , 
2022/12/13, , 19, 8, 13, , 
2022/12/14, , 20, 5, 13, , 
2022/12/15, , 26, 12, 12, , 
2022/12/16, , 20, 16, 13, , 
2022/12/17, , 23, 14, 8, , 
2022/12/18, , 20, 8, 16, , 
2022/12/19, , 22, 2, 17, , 
2022/12/20, , 16, 10, 17, , 
2022/12/21, , 11, 26, 4, , 
2022/12/22, , 5, 26, 3, , 
2022/12/23, , 2, 29, 3, , 
2022/12/24, , 4, 15, 5, , 
2022/12/25, , 6, 32, 3, , 
2022/12/26, , 3, 27, 7, , 
2022/12/27, , 9, 19, 8, , 
2022/12/28, , 5, 23, 6, , 
2022/12/29, , 6, 27, 6, , 
2022/12/30, , 5, 27, 6, , 
2022/12/31, , 18, 18, 8, , 
2023/1/1, , 62, , , , 
2022/7/1, , 5, 35, 2, , 
2022/7/2, , 8, 40, 5, , 
2022/7/3, , 13, 45, 4, , 
2022/7/4, , 13, 52, 3, , 
2022/7/5, , 11, 45, 4, , 
2022/7/6, , 12, 36, 3, , 
2022/7/7, , 9, 30, 2, , 
2022/7/8, , 7, 36, 3, , 
2022/7/9, , 9, 28, 2, , 
2022/7/10, , 8, 24, 4, , 
2022/7/11, , 8, 34, 4, , 
2022/7/12, , 10, 43, 5, , 
2022/7/13, , 10, 51, 4, , 
2022/7/14, , 16, 47, 3, , 
2022/7/15, , 13, 43, 5, , 
2022/7/16, , 12, 49, 5, , 
2022/7/17, , 13, 51, 5, , 
2022/7/18, , 12, 47, 4, , 
2022/7/19, , 14, 65, 6, , 
2022/7/20, , 22, 41, 4, , 
2022/7/21, , 22, 56, 4, , 
2022/7/22, , 20, 44, 4, , 
2022/7/23, , 12, 64, 4, , 
2022/7/24, , 15, 50, 4, , 
2022/7/25, , 18, 35, 3, , 
2022/7/26, , 9, 42, 6, , 
2022/7/27, , 11, 43, 3, , 
2022/7/28, , 18, 45, 3, , 
2022/7/29, , 11, 49, 2, , 
2022/7/30, , 14, 45, 3, , 
2022/7/31, , 34, 30, 3, , 
2022/8/1, , 90, 38, 3, , 
2022/8/2, , 11, 45, 4, , 
2022/8/3, , 9, 60, 4, , 
2022/8/4, , 16, 69, 4, , 
2022/8/5, , 14, 37, 2, , 
2022/8/6, , 9, 36, 3, , 
2022/8/7, , 7, 42, 6, , 
2022/8/8, , 11, 42, 4, , 
2022/8/9, , 19, 39, 4, , 
2022/8/10, , 10, 44, 3, , 
2022/8/11, , 15, 39, 5, , 
2022/8/12, , 13, 43, 4, , 
2022/8/13, , 10, 48, 6, , 
2022/8/14, , 16, 48, 1, , 
2022/8/15, , 9, 52, 2, , 
2022/8/16, , 13, 58, 6, , 
2022/8/17, , 22, 51, 4, , 
2022/8/18, , 16, 37, 3, , 
2022/8/19, , 13, 29, 3, , 
2022/8/20, , 7, 38, 3, , 
2022/8/21, , 7, 38, 5, , 
2022/8/22, , 12, 43, 6, , 
2022/8/23, , 11, 38, 6, , 
2022/8/24, , 20, 42, 5, , 
2022/8/25, , 21, 42, 5, , 
2022/8/26, , 16, 45, 3, , 
2022/8/27, , 12, 29, 3, , 
2022/8/28, , 13, 41, 4, , 
2022/8/29, , 11, 44, 4, , 
2022/8/30, , 15, 25, 5, , 
2022/8/31, , 15, 33, 4, , 
2022/9/1, , 12, 35, 3, , 
2022/9/2, , 10, 34, 5, , 
2022/9/3, , 13, 35, 3, , 
2022/9/4, , 12, 36, 4, , 
2022/9/5, , 13, 36, 6, , 
2022/9/6, , 15, 36, 5, , 
2022/9/7, , 17, 31, 4, , 
2022/9/8, , 7, 23, 6, , 
2022/9/9, , 11, 25, 4, , 
2022/9/10, , 11, 25, 3, , 
2022/9/11, , 7, 33, 4, , 
2022/9/12, , 6, 39, 6, , 
2022/9/13, , 20, 27, 6, , 
2022/9/14, , 15, 31, 2, , 
2022/9/15, , 9, 20, 5, , 
2022/9/16, , 12, 22, 3, , 
2022/9/17, , 6, 20, 2, , 
2022/9/18, , 10, 21, 4, , 
2022/9/19, , 8, 21, 6, , 
2022/9/20, , 6, 27, 4, , 
2022/9/21, , 7, 27, 6, , 
2022/9/22, , 7, 26, 10, , 
2022/9/23, , 14, 18, 11, , 
2022/9/24, , 14, 18, 6, , 
2022/9/25, , 14, 27, 3, , 
2022/9/26, , 6, 20, 3, , 
2022/9/27, , 5, 20, 4, , 
2022/9/28, , 7, 18, 5, , 
2022/9/29, , 5, 21, 5, , 
2022/9/30, , 9, 19, 5, , 
2022/4/1, , 4, 29, 4, , 
2022/4/2, , 10, 33, 4, , 
2022/4/3, , 10, 37, 5, , 
2022/4/4, , 13, 35, 3, , 
2022/4/5, , 7, 29, 3, , 
2022/4/6, , 9, 34, 3, , 
2022/4/7, , 5, 31, 2, , 
2022/4/8, , 3, 35, 2, , 
2022/4/9, , 4, 35, 3, , 
2022/4/10, , 7, 36, 5, , 
2022/4/11, , 9, 33, 9, , 
2022/4/12, , 12, 35, 12, , 
2022/4/13, , 20, 49, 12, , 
2022/4/14, , 24, 39, 4, , 
2022/4/15, , 18, 31, 4, , 
2022/4/16, , 5, 37, 4, , 
2022/4/17, , 7, 39, 5, , 
2022/4/18, , 8, 37, 7, , 
2022/4/19, , 10, 39, 4, , 
2022/4/20, , 11, 40, 8, , 
2022/4/21, , 15, 33, 5, , 
2022/4/22, , 15, 28, 3, , 
2022/4/23, , 12, 37, 3, , 
2022/4/24, , 11, 34, 5, , 
2022/4/25, , 14, 33, 7, , 
2022/4/26, , 9, 33, 5, , 
2022/4/27, , 6, 43, 6, , 
2022/4/28, , 11, 43, 8, , 
2022/4/29, , 14, 37, 9, , 
2022/4/30, , 16, 31, 5, , 
2022/5/1, , 16, 36, 6, , 
2022/5/2, , 11, 39, 7, , 
2022/5/3, , 10, 37, 6, , 
2022/5/4, , 8, 42, 6, , 
2022/5/5, , 13, 29, 10, , 
2022/5/6, , 11, 32, 5, , 
2022/5/7, , 18, 34, 3, , 
2022/5/8, , 13, 41, 5, , 
2022/5/9, , 13, 42, 8, , 
2022/5/10, , 17, 47, 5, , 
2022/5/11, , 17, 47, 3, , 
2022/5/12, , 52, 29, 5, , 
2022/5/13, , 18, 45, 6, , 
2022/5/14, , 11, 46, 6, , 
2022/5/15, , 15, 39, 6, , 
2022/5/16, , 16, 38, 4, , 
2022/5/17, , 10, 40, 5, , 
2022/5/18, , 11, 46, 6, , 
2022/5/19, , 16, 44, 5, , 
2022/5/20, , 12, 36, 6, , 
2022/5/21, , 11, 44, 3, , 
2022/5/22, , 11, 34, 4, , 
2022/5/23, , 16, 25, 5, , 
2022/5/24, , 6, 34, 5, , 
2022/5/25, , 3, 34, 4, , 
2022/5/26, , 8, 32, 6, , 
2022/5/27, , 10, 31, 4, , 
2022/5/28, , 8, 32, 5, , 
2022/5/29, , 6, 38, 4, , 
2022/5/30, , 11, 36, 4, , 
2022/5/31, , 10, 39, 3, , 
2022/6/1, , 10, 39, 4, , 
2022/6/2, , 9, 32, 6, , 
2022/6/3, , 12, 36, 4, , 
2022/6/4, , 16, 32, 4, , 
2022/6/5, , 9, 33, 3, , 
2022/6/6, , 7, 25, 4, , 
2022/6/7, , 6, 33, 3, , 
2022/6/8, , 8, 25, 3, , 
2022/6/9, , 6, 39, 4, , 
2022/6/10, , 10, 45, 4, , 
2022/6/11, , 11, 44, 3, , 
2022/6/12, , 10, 43, 4, , 
