date, pm25, pm10, o3, no2, so2, co
2025/4/21, 13, 10, , 17, , 
2025/4/22, 18, 16, , 15, , 
2025/4/23, 34, 10, , 17, , 
2025/4/24, 17, 16, , 18, , 
2025/4/25, 37, 12, , 6, , 
2025/4/26, 32, 13, , 12, , 
2025/4/27, 38, 22, , 25, , 
2025/4/28, 48, 22, , 24, , 
2025/4/29, 47, 28, , 26, , 
2025/4/30, 52, 21, , 22, , 
2025/5/1, 48, 24, , 36, , 
2025/5/2, 52, 25, , 18, , 
2025/5/3, 48, 10, , 10, , 
2025/5/4, 22, 8, , 9, , 
2025/5/5, 24, 9, , 9, , 
2025/5/6, 28, 14, , 12, , 
2025/5/7, 40, 17, , 11, , 
2025/5/8, 46, 14, , 9, , 
2025/5/9, 40, 11, , 11, , 
2025/5/10, 33, 10, , 13, , 
2025/5/11, 26, 12, , 10, , 
2025/5/12, 29, 16, , 14, , 
2025/5/13, 40, 23, , 35, , 
2025/5/14, 50, 19, , 21, , 
2025/5/15, 39, 16, , 23, , 
2025/5/16, 37, 15, , 19, , 
2025/5/17, 32, 17, , 15, , 
2025/5/18, 44, 15, , 22, , 
2025/5/19, 35, 15, , 15, , 
2025/5/20, 38, 21, , 27, , 
2025/5/21, 47, 19, , 25, , 
2025/5/22, 41, 15, , 24, , 
2025/5/23, 31, 14, , 20, , 
2025/5/24, 34, 13, , 13, , 
2025/5/25, 30, 15, , 18, , 
2025/5/26, 37, 16, , 21, , 
2025/5/27, 32, 13, , 19, , 
2025/5/28, 26, 12, , 14, , 
2025/5/29, 23, 17, , 26, , 
2025/5/30, 39, 18, , 25, , 
2025/5/31, 44, 19, , 19, , 
2025/6/1, 40, 16, , 24, , 
2025/6/2, 34, 13, , 21, , 
2025/6/3, 29, 16, , 17, , 
2025/6/4, 38, 10, , 22, , 
2025/6/5, 21, 10, , 17, , 
2025/6/6, 27, 8, , 16, , 
2025/6/7, 17, 11, , 8, , 
2025/6/8, 33, 13, , 9, , 
2025/6/9, 37, 41, , 25, , 
2025/6/10, 103, 21, , 18, , 
2025/6/11, 61, 15, , 9, , 
